Player Name,Club,League,Nationality,Age,Height (cm),Weight (Kg)
Lionel Messi,FC Barcelona,LaLiga Santander,Argentina,31,170,72
C. Ronaldo dos Santos Aveiro,Juventus,Serie A TIM,Portugal,33,187,83
Kevin De Bruyne,Manchester City,Premier League,Belgium,27,181,70
Luis Suárez,FC Barcelona,LaLiga Santander,Uruguay,31,182,86
Sergio Ramos García,Real Madrid,LaLiga Santander,Spain,32,184,82
Luka Modric,Real Madrid,LaLiga Santander,Croatia,33,172,66
Neymar da Silva Santos Jr.,Paris Saint-Germain,Ligue 1 Conforama,Brazil,26,175,68
David De Gea Quintana,Manchester United,Premier League,Spain,27,193,76
Eden Hazard,Chelsea,Premier League,Belgium,27,173,74
Robert Lewandowski,FC Bayern München,Bundesliga,Poland,30,184,80
Manuel Neuer,FC Bayern München,Bundesliga,Germany,32,193,92
Thibaut Courtois,Real Madrid,LaLiga Santander,Belgium,26,199,96
Toni Kroos,Real Madrid,LaLiga Santander,Germany,28,183,76
Diego Godín,Atlético Madrid,LaLiga Santander,Uruguay,32,187,78
Jan Oblak,Atlético Madrid,LaLiga Santander,Slovenia,25,188,87
Giorgio Chiellini,Juventus,Serie A TIM,Italy,34,187,85
Paulo Dybala,Juventus,Serie A TIM,Argentina,24,177,75
Sergio Agüero,Manchester City,Premier League,Argentina,30,173,70
David Josué Jimenez Silva,Manchester City,Premier League,Spain,32,173,67
Marc-André ter Stegen,FC Barcelona,LaLiga Santander,Germany,26,187,85
Mats Hummels,FC Bayern München,Bundesliga,Germany,29,191,92
Harry Kane,Tottenham Hotspur,Premier League,England,25,188,89
Francisco Román Alarcón Suárez,Real Madrid,LaLiga Santander,Spain,26,176,79
Edinson Cavani,Paris Saint-Germain,Ligue 1 Conforama,Uruguay,31,185,77
Antoine Griezmann,Atlético Madrid,LaLiga Santander,France,27,176,73
Paul Pogba,Manchester United,Premier League,France,25,191,84
Sergio Busquets Burgos,FC Barcelona,LaLiga Santander,Spain,30,189,76
Philippe Coutinho Correia,FC Barcelona,LaLiga Santander,Brazil,26,172,68
N'Golo Kanté,Chelsea,Premier League,France,27,168,68
James Rodríguez,FC Bayern München,Bundesliga,Colombia,27,181,78
Mohamed Salah,Liverpool,Premier League,Egypt,26,175,71
Christian Eriksen,Tottenham Hotspur,Premier League,Denmark,26,181,76
Hugo Lloris,Tottenham Hotspur,Premier League,France,31,188,82
Marcelo Vieira da Silva,Real Madrid,LaLiga Santander,Brazil,30,174,80
Carlos Henrique Venancio Casimiro,Real Madrid,LaLiga Santander,Brazil,26,185,84
Gareth Bale,Real Madrid,LaLiga Santander,Wales,29,185,81
Lorenzo Insigne,Napoli,Serie A TIM,Italy,27,163,59
Thiago Emiliano da Silva,Paris Saint-Germain,Ligue 1 Conforama,Brazil,34,183,82
Gianluigi Buffon,Paris Saint-Germain,Ligue 1 Conforama,Italy,40,192,92
Alexis Sánchez,Manchester United,Premier League,Chile,29,169,74
Romelu Lukaku,Manchester United,Premier League,Belgium,25,190,94
Ivan Rakitic,FC Barcelona,LaLiga Santander,Croatia,30,184,78
Gerard Piqué Bernabeu,FC Barcelona,LaLiga Santander,Spain,31,194,85
Samuel Umtiti,FC Barcelona,LaLiga Santander,France,24,182,75
Jordi Alba Ramos,FC Barcelona,LaLiga Santander,Spain,29,170,68
Jan Vertonghen,Tottenham Hotspur,Premier League,Belgium,31,189,86
Keylor Navas,Real Madrid,LaLiga Santander,Costa Rica,31,185,80
Gonzalo Higuaín,Milan,Serie A TIM,Argentina,30,186,89
Kalidou Koulibaly,Napoli,Serie A TIM,Senegal,27,187,89
Dries Mertens,Napoli,Serie A TIM,Belgium,31,169,61
Marek Hamik,Napoli,Serie A TIM,Slovakia,31,183,79
Kylian Mbappe Lottin,Paris Saint-Germain,Ligue 1 Conforama,France,19,178,73
Samir Handanovic,Inter,Serie A TIM,Slovenia,34,193,92
Mauro Icardi,Inter,Serie A TIM,Argentina,25,181,75
Medhi Benatia,Juventus,Serie A TIM,Morocco,31,189,94
Alex Sandro Lobo Silva,Juventus,Serie A TIM,Brazil,27,180,80
Leonardo Bonucci,Juventus,Serie A TIM,Italy,31,190,85
Douglas Costa de Souza,Juventus,Serie A TIM,Brazil,28,172,70
Miralem Pjanic,Juventus,Serie A TIM,Bosnia and Herzegovina,28,178,72
Nemanja Matic,Manchester United,Premier League,Serbia,30,194,85
Fernando Luiz Rosa,Manchester City,Premier League,Brazil,33,179,67
Nicolás Otamendi,Manchester City,Premier League,Argentina,30,183,81
Ederson Santana de Moraes,Manchester City,Premier League,Brazil,25,188,86
Leroy Sané,Manchester City,Premier League,Germany,22,183,75
Jérôme Boateng,FC Bayern München,Bundesliga,Germany,30,192,90
Thomas Müller,FC Bayern München,Bundesliga,Germany,29,186,75
Thiago Alcântara,FC Bayern München,Bundesliga,Spain,27,174,70
Roberto Firmino Barbosa de Oliveira,Liverpool,Premier League,Brazil,27,181,76
Sadio Mané,Liverpool,Premier League,Senegal,26,175,69
Pierre-Emerick Aubameyang,Arsenal,Premier League,Gabon,29,187,80
Raphaël Varane,Real Madrid,LaLiga Santander,France,25,191,81
Marco Verratti,Paris Saint-Germain,Ligue 1 Conforama,Italy,25,165,60
Ciro Immobile,Lazio,Serie A TIM,Italy,28,185,85
Ivan Periic,Inter,Serie A TIM,Croatia,29,186,80
Ronaldo Aparecido Rodrigues,FC Schalke 04,Bundesliga,Brazil,36,198,91
Daniel Parejo Muñoz,Valencia CF,LaLiga Santander,Spain,29,182,74
Andrés Iniesta Luján,Vissel Kobe,Meiji Yasuda J1 League,Spain,34,171,68
Sami Khedira,Juventus,Serie A TIM,Germany,31,189,90
Blaise Matuidi,Juventus,Serie A TIM,France,31,180,75
Marco Reus,Borussia Dortmund,Bundesliga,Germany,29,180,71
Raheem Sterling,Manchester City,Premier League,England,23,170,69
Vincent Kompany,Manchester City,Premier League,Belgium,32,190,85
Riyad Mahrez,Manchester City,Premier League,Algeria,27,179,67
Arturo Vidal,FC Barcelona,LaLiga Santander,Chile,31,180,75
César Azpilicueta Tanco,Chelsea,Premier League,Spain,29,178,78
David Alaba,FC Bayern München,Bundesliga,Austria,26,180,76
Arjen Robben,FC Bayern München,Bundesliga,Holland,34,180,80
Franck Ribéry,FC Bayern München,Bundesliga,France,35,170,72
Joshua Kimmich,FC Bayern München,Bundesliga,Germany,23,176,70
Alisson Ramses Becker,Liverpool,Premier League,Brazil,26,191,91
Fábio Henrique Tavares,Liverpool,Premier League,Brazil,24,188,78
Virgil van Dijk,Liverpool,Premier League,Holland,27,193,92
Toby Alderweireld,Tottenham Hotspur,Premier League,Belgium,29,186,81
Mesut Özil,Arsenal,Premier League,Germany,29,180,76
Marco Asensio Willemsen,Real Madrid,LaLiga Santander,Spain,22,182,76
Yacine Brahimi,FC Porto,Liga NOS,Algeria,28,175,66
Kostas Manolas,Roma,Serie A TIM,Greece,27,189,83
Jorge Resurrección,Atlético Madrid,LaLiga Santander,Spain,26,176,74
Saúl Ñíguez Esclápez,Atlético Madrid,LaLiga Santander,Spain,23,184,77
Diego da Silva Costa,Atlético Madrid,LaLiga Santander,Spain,29,188,86
Filipe Luís Kasmirski,Atlético Madrid,LaLiga Santander,Brazil,33,182,74
Radamel Falcao García Zarate,AS Monaco Football Club SA,Ligue 1 Conforama,Colombia,32,177,72
Radja Nainggolan,Inter,Serie A TIM,Belgium,30,176,77
Milan kriniar,Inter,Serie A TIM,Slovakia,23,187,80
João Miranda de Souza Filho,Inter,Serie A TIM,Brazil,34,186,78
Nabil Fekir,Olympique Lyonnais,Ligue 1 Conforama,France,25,173,75
Andrea Barzagli,Juventus,Serie A TIM,Italy,37,187,87
Wojciech Szczesny,Juventus,Serie A TIM,Poland,28,195,90
Mario Mandukic,Juventus,Serie A TIM,Croatia,32,190,85
Mattia Perin,Juventus,Serie A TIM,Italy,25,188,77
Juan Cuadrado,Juventus,Serie A TIM,Colombia,30,179,72
Ilkay Gündogan,Manchester City,Premier League,Germany,27,180,80
Bernardo Mota Carvalho e Silva,Manchester City,Premier League,Portugal,24,173,64
Kyle Walker,Manchester City,Premier League,England,28,183,70
Sergio Roberto Carnicer,FC Barcelona,LaLiga Santander,Spain,26,178,68
Niklas Süle,FC Bayern München,Bundesliga,Germany,23,195,97
Javier Martínez Aginaga,FC Bayern München,Bundesliga,Spain,30,190,81
Heung Min Son,Tottenham Hotspur,Premier League,Korea Republic,26,183,65
Davinson Sánchez,Tottenham Hotspur,Premier League,Colombia,22,187,79
Moussa Dembélé,Tottenham Hotspur,Premier League,Belgium,31,185,82
Dele Alli,Tottenham Hotspur,Premier League,England,22,188,80
Karim Benzema,Real Madrid,LaLiga Santander,France,30,185,81
Daniel Carvajal Ramos,Real Madrid,LaLiga Santander,Spain,26,173,73
Raúl Albiol Tortajada,Napoli,Serie A TIM,Spain,33,190,82
José María Callejón Bueno,Napoli,Serie A TIM,Spain,31,178,73
Alex Nicolao Telles,FC Porto,Liga NOS,Brazil,25,181,71
Edin Deko,Roma,Serie A TIM,Bosnia and Herzegovina,32,193,84
Marcos Aoas Corrêa,Paris Saint-Germain,Ligue 1 Conforama,Brazil,24,183,75
Ángel Di María,Paris Saint-Germain,Ligue 1 Conforama,Argentina,30,180,69
José María Giménez,Atlético Madrid,LaLiga Santander,Uruguay,23,185,80
Sergej Milinkovic-Savic,Lazio,Serie A TIM,Serbia,23,191,76
Jonas Gonçalves Oliveira,SL Benfica,Liga NOS,Brazil,34,181,74
Stefan de Vrij,Inter,Serie A TIM,Holland,26,189,78
Képler Laveran Lima Ferreira,Be?ikta? JK,Süper Lig,Portugal,35,188,81
Iago Aspas Juncal,RC Celta,LaLiga Santander,Spain,31,175,67
Anthony Lopes,Olympique Lyonnais,Ligue 1 Conforama,Portugal,28,184,81
Norberto Murara Neto,Valencia CF,LaLiga Santander,Brazil,29,190,84
Rodrigo Moreno Machado,Valencia CF,LaLiga Santander,Spain,27,182,77
Zlatan Ibrahimovic,LA Galaxy,Major League Soccer,Sweden,37,195,95
José Paulo Bezerra M. Júnior,Guangzhou Evergrande Taobao,CSL,Brazil,30,181,81
Shinji Kagawa,Borussia Dortmund,Bundesliga,Japan,29,175,68
Anthony Martial,Manchester United,Premier League,France,22,184,76
Juan Manuel Mata García,Manchester United,Premier League,Spain,30,170,63
Aymeric Laporte,Manchester City,Premier League,France,24,189,85
Gabriel Fernando de Jesus,Manchester City,Premier League,Brazil,21,175,73
Malcom Filipe Silva de Oliveira,FC Barcelona,LaLiga Santander,Brazil,21,172,74
Luiz Frello Filho Jorge,Chelsea,Premier League,Italy,26,180,65
Francesc Fàbregas i Soler,Chelsea,Premier League,Spain,31,180,77
Willian Borges da Silva,Chelsea,Premier League,Brazil,30,175,77
Corentin Tolisso,FC Bayern München,Bundesliga,France,24,181,81
Leon Goretzka,FC Bayern München,Bundesliga,Germany,23,189,79
Kingsley Coman,FC Bayern München,Bundesliga,France,22,178,71
Naby Keïta,Liverpool,Premier League,Guinea,23,172,64
Henrikh Mkhitaryan,Arsenal,Premier League,Armenia,29,177,75
Alexandre Lacazette,Arsenal,Premier League,France,27,175,73
Sokratis Papastathopoulos,Arsenal,Premier League,Greece,30,186,85
Bernd Leno,Arsenal,Premier League,Germany,26,190,83
José Ignacio Fernández Iglesias,Real Madrid,LaLiga Santander,Spain,28,180,76
Lucas Vázquez Iglesias,Real Madrid,LaLiga Santander,Spain,27,173,70
Felipe Augusto de Almeida Monteiro,FC Porto,Liga NOS,Brazil,29,191,86
Danilo Luís Hélio Pereira,FC Porto,Liga NOS,Portugal,27,188,83
Daniele De Rossi,Roma,Serie A TIM,Italy,35,184,83
Julian Draxler,Paris Saint-Germain,Ligue 1 Conforama,Germany,25,187,77
Presnel Kimpembe,Paris Saint-Germain,Ligue 1 Conforama,France,23,189,80
Adrien Rabiot,Paris Saint-Germain,Ligue 1 Conforama,France,23,192,80
Stefan Savic,Atlético Madrid,LaLiga Santander,Montenegro,27,187,79
Thomas Lemar,Atlético Madrid,LaLiga Santander,France,22,171,62
Antonio Adán Garrido,Atlético Madrid,LaLiga Santander,Spain,31,190,92
Luká Hrádecký,Bayer 04 Leverkusen,Bundesliga,Finland,28,190,80
Asier Illarramendi,Real Sociedad,LaLiga Santander,Spain,28,179,75
Sergio Asenjo Andrés,Villarreal CF,LaLiga Santander,Spain,29,189,87
Luis Miguel Afonso Fernandes,SL Benfica,Liga NOS,Portugal,29,177,72
Danijel Subaic,AS Monaco Football Club SA,Ligue 1 Conforama,Croatia,33,191,84
Kamil Glik,AS Monaco Football Club SA,Ligue 1 Conforama,Poland,30,190,80
Oliver Baumann,TSG 1899 Hoffenheim,Bundesliga,Germany,28,187,82
Ricardo Andrade Quaresma Bernardo,Be?ikta? JK,Süper Lig,Portugal,35,175,67
Kasper Schmeichel,Leicester City,Premier League,Denmark,31,189,89
Ralf Fährmann,FC Schalke 04,Bundesliga,Germany,30,197,98
Memphis Depay,Olympique Lyonnais,Ligue 1 Conforama,Holland,24,176,78
William Silva de Carvalho,Real Betis,LaLiga Santander,Portugal,26,187,83
Dimitri Payet,Olympique de Marseille,Ligue 1 Conforama,France,31,175,77
Florian Thauvin,Olympique de Marseille,Ligue 1 Conforama,France,25,179,70
Alejandro Gómez,Atalanta,Serie A TIM,Argentina,30,165,68
Stéphane Ruffier,AS Saint-Étienne,Ligue 1 Conforama,France,32,188,93
Federico Bernardeschi,Juventus,Serie A TIM,Italy,24,185,77
Daniele Rugani,Juventus,Serie A TIM,Italy,24,190,84
Ömer Toprak,Borussia Dortmund,Bundesliga,Turkey,29,186,83
Mario Götze,Borussia Dortmund,Bundesliga,Germany,26,176,75
Axel Witsel,Borussia Dortmund,Bundesliga,Belgium,29,188,81
Frederico R. de Paula Santos,Manchester United,Premier League,Brazil,25,169,64
Antonio Valencia,Manchester United,Premier League,Ecuador,33,180,83
Ander Herrera Agüera,Manchester United,Premier League,Spain,29,182,70
Jesse Lingard,Manchester United,Premier League,England,25,175,62
Eric Bailly,Manchester United,Premier League,Côte d'Ivoire,24,187,77
John Stones,Manchester City,Premier League,England,24,188,70
Clément Lenglet,FC Barcelona,LaLiga Santander,France,23,186,81
Rafael Alcântara,FC Barcelona,LaLiga Santander,Brazil,25,174,71
Ousmane Dembélé,FC Barcelona,LaLiga Santander,France,21,178,67
Mateo Kovacic,Chelsea,Premier League,Croatia,24,178,78
Alvaro Borja Morata Martín,Chelsea,Premier League,Spain,25,189,85
David Luiz Moreira Marinho,Chelsea,Premier League,Brazil,31,189,84
Kepa Arrizabalaga,Chelsea,Premier League,Spain,24,187,85
Serge Gnabry,FC Bayern München,Bundesliga,Germany,23,175,75
Jordan Henderson,Liverpool,Premier League,England,28,182,80
Georginio Wijnaldum,Liverpool,Premier League,Holland,27,175,69
Lucas Rodrigues M. Silva,Tottenham Hotspur,Premier League,Brazil,26,174,70
Kieran Trippier,Tottenham Hotspur,Premier League,England,28,178,72
Jordan Pickford,Everton,Premier League,England,24,185,77
José Manuel Reina Páez,Milan,Serie A TIM,Spain,36,188,92
Samuel Castillejo Azuaga,Milan,Serie A TIM,Spain,23,182,67
Bruno Miguel Borges Fernandes,Sporting CP,Liga NOS,Portugal,24,179,69
Bas Dost,Sporting CP,Liga NOS,Holland,29,196,89
Emiliano Viviano,Sporting CP,Liga NOS,Italy,32,195,90
Allan Marques Loureiro,Napoli,Serie A TIM,Brazil,27,175,74
Iker Casillas Fernández,FC Porto,Liga NOS,Spain,37,185,84
Javier Pastore,Roma,Serie A TIM,Argentina,29,188,77
Alessandro Florenzi,Roma,Serie A TIM,Italy,27,173,67
Iván Marcano Sierra,Roma,Serie A TIM,Spain,31,187,77
Federico Fazio,Roma,Serie A TIM,Argentina,31,195,85
Aleksandar Kolarov,Roma,Serie A TIM,Serbia,32,187,83
Steven N'Zonzi,Roma,Serie A TIM,France,29,196,75
Thomas Meunier,Paris Saint-Germain,Ligue 1 Conforama,Belgium,27,191,90
Daniel Alves da Silva,Paris Saint-Germain,Ligue 1 Conforama,Brazil,35,172,68
Lucas Hernández,Atlético Madrid,LaLiga Santander,France,22,182,76
